# Rime user dictionary
#@/db_name	ounei_test
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1996
#@/user_id	TAKUSEI-DESKTOP
b;[bh 	病	c=1 d=1 t=817
xc[ub wh[su 	小王	c=2 d=1.10753 t=969
xd[am bi[bb yu[eu 	相比於	c=1 d=1 t=1614
xd[am dh[xx yu[eu 	相當於	c=2 d=1.02182 t=1311
xd[am dv[yc 	相對	c=0 d=0.1 t=1711
xd[am dv[yc lu[zw j;[rs 	相對路徑	c=4 d=3.1519 t=1873
xd[am si[rs 	相似	c=0 d=0.1 t=615
xd[am si[rs du[gn 	相似度	c=1 d=1 t=616
xd[am xn[ry wo[pf 	相信我	c=1 d=1 t=1929
xd[ax 	想	c=1 d=0.425013 t=1220
xd[ax bj[lb fa[dt 	想辦法	c=1 d=1 t=1319
xd[ax fa[dt 	想法	c=1 d=1 t=355
xd[ax hk[nz 	想好	c=1 d=1 t=948
xd[ax jn[ud yi[hh qx[qd bj[lb fa[dt 	想盡一切辦法	c=1 d=1 t=96
xd[ax yk[xn 	想要	c=1 d=1 t=1916
xd[ax yk[xn ys[ou 	想要用	c=1 d=1 t=1221
xd[gy mu[we 	項目	c=5 d=3.87542 t=1865
xd[rd 	像	c=1 d=1 t=1723
xd[yy xi[st 	詳細	c=1 d=1 t=1138
xi[hi qi[dk 	稀奇	c=1 d=1 t=1124
xi[iu wh[ww 	希望	c=7 d=1.35968 t=1432
xi[uk ll[hm dg[dd 	喜來登	c=1 d=1 t=1645
xm[oy ka[ub 	顯卡	c=1 d=1 t=887
xm[oy ui[ex 	顯示	c=2 d=1.00233 t=1537
xm[wj ih[tv 	現場	c=2 d=1.01916 t=1143
xm[wj ui[gd 	現實	c=1 d=1 t=1541
xm[wj yb[uo 	現有	c=2 d=1.01945 t=1175
xm[wj zl[ut 	現在	c=21 d=4.32794 t=1683
xn[dv ug[um 	心聲	c=1 d=1 t=935
xn[jd 	欣	c=1 d=1 t=1285
xn[jj 	鑫	c=1 d=1 t=1284
xn[lj ie[qu 	新車	c=1 d=1 t=1699
xn[lj wf[me 	新聞	c=2 d=1.0147 t=1612
xn[lj wf[wi xt[xz 	新文學	c=1 d=1 t=772
xn[ry rf[rq 	信任	c=2 d=1.99501 t=732
xn[ry xi[zx 	信息	c=4 d=1.00078 t=1700
xp[rp hr[wb 	循環	c=1 d=1 t=1895
xp[xc vk[fg 	尋找	c=1 d=1 t=1705
xp[yi lm[sq 	訓練	c=10 d=3.0085 t=1544
xq[ru 	修	c=4 d=1.40643 t=575
xq[ru bu[eu lc[vu 	修不了	c=2 d=1.96079 t=178
xq[ru fu[ro 	修復	c=1 d=1 t=168
xq[ru gl[kw 	修改	c=1 d=1 t=1892
xr[gh ir[re 	宣傳	c=3 d=1.47638 t=1134
xr[gh ir[re pl[pb 	宣傳牌	c=1 d=1 t=1154
xr[nz ze[fy 	選擇	c=1 d=1 t=486
xt[xz dk[hd 	學到	c=2 d=1.78663 t=1505
xt[xz iu[ck 	學出	c=1 d=1 t=1449
xt[xz uu[ad 	學術	c=0 d=0.1 t=982
xt[xz uu[ad qr[wb 	學術圈	c=1 d=1 t=983
xt[xz xc[al 	學校	c=3 d=1.01376 t=1198
xt[xz xi[vd 	學習	c=1 d=1 t=1412
xu[gy lx[hd 	序列	c=1 d=1 t=1469
xu[hy gk[wk 	虛高	c=1 d=1 t=727
xu[ye yk[xn 	需要	c=29 d=2.61252 t=1981
xu[ye yk[xn ti[fo ug[pc 	需要提升	c=1 d=1 t=1313
xu[yw 	許	c=1 d=1 t=1436
xu[yw lj[uf 	許嵐	c=1 d=1 t=579
xu[yw yk[iu 	許餚	c=1 d=1 t=1186
xw[hb ll[hm 	下來	c=1 d=1 t=784
xw[hb mm[ew 	下面	c=1 d=1 t=707
xw[hb yi[hh bu[vu 	下一步	c=1 d=1 t=525
xx[gh hk[nz 	寫好	c=1 d=1 t=404
xx[gh xn[ry 	寫信	c=1 d=1 t=897
y;[gx 	應	c=0 d=0.1 t=1863
y;[gx dh[xx 	應當	c=2 d=1.00159 t=1794
y;[gx dh[xx ui[oc 	應當時	c=1 d=1 t=1864
y;[gx gl[yw 	應該	c=5 d=1.71409 t=1841
y;[gx gl[yw ui[op 	應該是	c=1 d=1 t=1623
y;[gx ys[ou 	應用	c=2 d=1.00197 t=1538
y;[nm li[hd 	盈利	c=1 d=1 t=845
ya[hv 	牙	c=1 d=1 t=814
ya[hv fh[ef so[pj 	牙防所	c=6 d=3.31387 t=684
ya[hv ii[vr 	牙齒	c=2 d=1.28794 t=688
ya[hv ke[hd 	牙科	c=1 d=1 t=1163
ya[hv yn[vg 	牙齦	c=1 d=1 t=1277
yb[df rf[dd yb[uo yu[re 	遊刃有餘	c=1 d=1 t=515
yb[df xi[yg 	遊戲	c=2 d=1.53526 t=1839
yb[ou 	由	c=1 d=1 t=1987
yb[ou yu[eu 	由於	c=1 d=1 t=1872
yb[ry hw[rq 	優化	c=1 d=1 t=1768
yb[ry xm[ne 	優先	c=2 d=1.79852 t=204
yb[uo 	有	c=0 d=0.1 t=76
yb[uo fh[dw fa[dt 	有方法	c=1 d=1 t=931
yb[uo gr[bt 	有關	c=1 d=1 t=1880
yb[uo mz[dj yb[uo 	有沒有	c=2 d=1.63445 t=1636
yb[uo rf[pd 	有人	c=1 d=1 t=803
yb[uo ve[ym 	有着	c=1 d=1 t=61
yb[uo wf[mk ti[oy 	有問題	c=2 d=1.9802 t=1218
yb[uo xx[ve 	有些	c=1 d=1 t=502
yb[uo xx[ve rf[pd 	有些人	c=1 d=1 t=500
yb[uo yi[hh xx[ve 	有一些	c=1 d=1 t=181
yb[vd ba[fb 	又把	c=1 d=1 t=80
yb[vd ui[op 	又是	c=1 d=1 t=1309
ye[be 	爺	c=3 d=2.90737 t=107
ye[vu ui[op 	也是	c=2 d=1.81465 t=1594
ye[vu yb[uo 	也有	c=1 d=1 t=1533
yi[bm 	益	c=1 d=1 t=646
yi[bs 	疑	c=1 d=1 t=1633
yi[hh 	一	c=0 d=0.1 t=546
yi[hh bj[vj 	一般	c=3 d=2.83249 t=1809
yi[hh bm[hz 	一遍	c=1 d=1 t=648
yi[hh bu[le 	一部	c=0 d=0.1 t=798
yi[hh bu[le ff[bd 	一部分	c=1 d=1 t=1308
yi[hh d;[gp 	一定	c=1 d=1 t=1980
yi[hh d;[gp hv[re 	一定會	c=0 d=0.1 t=1929
yi[hh dr[pj ui[oc jm[mo 	一段時間	c=1 d=1 t=377
yi[hh ge[ru 	一個	c=25 d=6.42124 t=1985
yi[hh ge[ru yt[ke 	一個月	c=2 d=1.01041 t=1165
yi[hh ge[ru zi[gz 	一個字	c=2 d=1.99501 t=479
yi[hh ju[bk hw[yq 	一句話	c=1 d=1 t=1293
yi[hh kb[uv 	一口	c=2 d=1.99501 t=438
yi[hh ke[oy 	一顆	c=1 d=1 t=444
yi[hh kj[fm 	一看	c=1 d=1 t=724
yi[hh nm[rn 	一年	c=1 d=1 t=457
yi[hh pm[pu 	一片	c=1 d=1 t=1528
yi[hh pm[vh 	一篇	c=1 d=1 t=1529
yi[hh qi[zk 	一起	c=2 d=1.97531 t=229
yi[hh qx[qd 	一切	c=1 d=1 t=2
yi[hh rf[pd 	一人	c=1 d=1 t=208
yi[hh tc[wa 	一條	c=1 d=1 t=244
yi[hh tk[di 	一套	c=1 d=1 t=1393
yi[hh tm[hd 	一天	c=2 d=1.00074 t=1650
yi[hh vb[kt 	一週	c=1 d=1 t=142
yi[hh vi[hw 	一致	c=1 d=1 t=604
yi[hh vi[uj 	一直	c=1 d=1 t=358
yi[hh vs[hv 	一種	c=2 d=1.44043 t=1548
yi[hh wj[hv 	一萬	c=1 d=1 t=433
yi[hh xw[hb 	一下	c=3 d=1.07018 t=1569
yi[hh xx[ve 	一些	c=4 d=1.84513 t=1825
yi[hh yh[ay 	一樣	c=2 d=1.00202 t=1726
yi[hx ds[el 	移動	c=2 d=1.20291 t=337
yi[ku 	醫	c=1 d=1 t=837
yi[ku ug[pf 	醫生	c=1 d=1 t=823
yi[ku xt[xz 	醫學	c=1 d=1 t=821
yi[kv j;[ss 	已經	c=9 d=1.3365 t=1942
yi[lx si[tx 	意思	c=1 d=1 t=1814
yi[lx yi[di 	意義	c=1 d=1 t=1540
yi[lx yi[yy 	意譯	c=3 d=1.01111 t=1539
yi[ry to[fp 	依託	c=1 d=1 t=1116
yi[sr 	以	c=2 d=1.89583 t=1769
yi[sr hb[pk 	以後	c=1 d=1 t=859
yi[yk 	裔	c=0 d=0.1 t=823
yi[yk fu[oe wu[wl 	裔服務	c=1 d=1 t=824
yj[dg ui[ex 	演示	c=1 d=1 t=1162
yj[mr vg[yh 	驗證	c=1 d=1 t=1312
yj[pj ii[uz 	延遲	c=3 d=1.01449 t=1271
yk[fa yk[fa yu[bd vv[et 	搖搖欲墜	c=1 d=1 t=464
yk[xn 	要	c=0 d=0.1 t=1832
yk[xn qq[hu 	要求	c=1 d=1 t=882
yk[xn vu[dd yi[lx yi[hh dm[bd 	要注意一點	c=1 d=1 t=1833
yk[xn ys[ou 	要用	c=0 d=0.1 t=1220
yn[wd wz[dl 	因爲	c=4 d=3.03719 t=1423
yp[es fu[oe wu[wl 	雲服務	c=1 d=1 t=308
yp[ez x;[rh 	運行	c=7 d=3.79925 t=1875
yp[se xu[yw 	允許	c=1 d=1 t=1903
yr[ee 	元	c=2 d=0.137287 t=1295
yr[ix bu[eu yr[ix yi[lx 	願不願意	c=1 d=1 t=962
yr[ix yi[lx 	願意	c=1 d=1 t=966
yr[wk 	圓	c=1 d=1 t=195
ys[ou 	用	c=0 d=0.1 t=879
ys[ou bu[eu uh[bh 	用不上	c=1 d=1 t=1584
ys[ou go[cz 	用過	c=1 d=1 t=81
ys[ou hu[du 	用戶	c=2 d=1.92774 t=1129
yt[sb 	約	c=1 d=1 t=819
yu[oz dk[hd 	遇到	c=1 d=1 t=1281
yu[xp lm[iz 	窳連	c=-1 d=0 t=1413
yu[yw 	語	c=3 d=2.98506 t=32
yu[yw lc[md 	語料	c=1 d=1 t=207
yu[yw lc[md ku[gi 	語料庫	c=1 d=1 t=850
yu[yw yj[we 	語言	c=4 d=1.72662 t=1549
yu[yy 	預	c=1 d=0.882705 t=1413
yu[yy ji[yu 	預計	c=4 d=1.05666 t=1192
yu[yy re[fd 	預熱	c=1 d=1 t=985
yu[yy xp[yi lm[sq 	預訓練	c=6 d=4.8785 t=1573
zf[vx me[ps 	怎麼	c=15 d=2.20474 t=1722
zi[db jn[rw 	資金	c=2 d=1.98511 t=1004
zi[db yr[di 	資源	c=2 d=1.02522 t=899
zi[gz mu[vv 	字母	c=1 d=1 t=699
zi[lh ji[dx 	子急	c=-2 d=1.99501 t=121
zi[pm 	自	c=1 d=1 t=1969
zi[pm ji[kv 	自己	c=6 d=2.00329 t=1973
zk[nz 	造	c=1 d=1 t=36
zk[ou 	早	c=1 d=1 t=1667
zk[ou qi[zk 	早起	c=1 d=1 t=48
zl[hk 	再	c=3 d=1.55538 t=1381
zl[ut zo[rg 	在做	c=0 d=0.1 t=1125
zo[rg 	做	c=3 d=1.62399 t=1448
zo[rg ci[bx uj[yk 	做慈善	c=1 d=1 t=92
zo[rg de[ro 	做得	c=1 d=1 t=553
zo[rg dk[hd 	做到	c=2 d=1.19398 t=1238
zo[rg hk[nz 	做好	c=2 d=1.10593 t=1591
zo[ug yb[uk 	左右	c=1 d=1 t=143
zp[bc vs[ph 	尊重	c=1 d=1 t=492
zp[bz ub[gc 	遵守	c=1 d=1 t=738
zr[jb 	鑽	c=2 d=1.97531 t=705
zr[jb ds[dk 	鑽洞	c=1 d=1 t=696
zs[bx vi[dv 	總之	c=1 d=1 t=448
zu[kv gb[bx 	足夠	c=1 d=1 t=797
zu[sq he[rh 	組合	c=1 d=1 t=461
zu[sq ig[wv 	組成	c=1 d=1 t=1708
zv[oe hb[pk 	最後	c=0 d=0.1 t=798
zv[oe hb[pk yi[hh bu[le 	最後一部	c=1 d=1 t=799
zv[oe iu[yd 	最初	c=1 d=1 t=1801
zv[oe ky[xv 	最快	c=1 d=1 t=1446
zv[oe vs[ph yk[xn 	最重要	c=1 d=1 t=1131
zv[oe vs[sw 	最終	c=1 d=1 t=592
